X,Y,Z,Name,Category,Price,Suburb,Pog Approved,,,,,,,,
151.2160865,-33.8822968,0,Cicerone ~ Cucina Romana,Italian,$$,Surry Hills,Y,,,?,Italian,,,,
151.210066,-33.8692083,0,Fabbrica Pasta Shop CBD,Italian,$$,CBD,N,,,?,Italian,,,,
151.2251944,-33.86885,0,Fratelli Paradiso,Italian,$$$,Potts Point,Y,,,?,Italian,,,,
151.1909463,-33.9054767,0,Pino Vino e Cucina Alexandria,Italian,$$$,Alexandria,N,,,?,Italian,,,,
151.2149743,-33.8792515,0,SANDOITCHI DARLINGHURST,Sandwiches,$$,Darlinghurst,N,,,?,Sandwiches,,,,
151.2544865,-33.9023934,0,Frank's Deli,Sandwiches,$$,Waverley,N,,,?,Sandwiches,,,,
151.2129873,-33.8891109,0,Lucky Pickle,Sandwiches,$,Surry Hills,N,,,?,Sandwiches,,,,
151.271812,-33.887195,0,The Shop & Wine Bar,Sandwiches,$$,Bondi,N,,,?,Sandwiches,,,,
151.1997769,-33.884778,0,Lukumades - Chippendale,Dessert,$,Chippendale,N,,,?,Dessert,,,,
151.2252281,-33.8693698,0,Macleay St Bistro,French,$$$$,Potts Point,N,,,?,French,,,,
151.1538768,-33.8958744,0,Perama 2.0,Greek,$$,Petersham,N,,,?,Greek,,,,
151.2146819,-33.8792007,0,Tenacious Bakehouse,Bakery,$,Darlinghurst,Y,,,?,Bakery,,,,
151.2024467,-33.9090924,0,TASTE TEXTURE,Brunch,$$,Beaconsfield,N,,,?,Brunch,,,,
151.2244681,-33.8728437,0,SALUMERIE - Potts Point,Sandwiches,$$,Potts Point,Y,,,?,Sandwiches,,,,
151.2016167,-33.8781179,0,Kuki Soft Serve & Cookies,Dessert,$,Haymarket,Y,,,?,Dessert,,,,
151.2105307,-33.8777986,0,Alberto's Lounge,Italian,$$,Surry Hills,N,,,?,Italian,,,,
151.2073516,-33.866462,0,Bar Totti's,Italian,$$$,CBD,Y,,,?,Italian,,,,
151.2252005,-33.8717141,0,Bistro Rex Restaurant,French,$$$$,Potts Point,N,,,?,French,,,,
151.2078628,-33.8632981,0,BISTECCA,Steakhouse,$$$,CBD,Y,,,?,Steakhouse,,,,
151.2101555,-33.8692214,0,The Gidley,Steakhouse,$$$,CBD,Y,,,?,Steakhouse,,,,
151.2104197,-33.8651304,0,Restaurant Hubert,French,$$$$,CBD,N,,,?,French,,,,
151.196206,-33.873194,0,CafÈ Cre Asion,Drinks,$,Pyrmont,Y,,,?,Drinks,,,,
151.2077198,-33.8634153,0,Brooklyn Bridge Deli,Sandwiches,$,CBD,Y,,,?,Sandwiches,,,,
151.1953274,-33.9020862,0,Chok Chok Burgers,Burgers,$$,Alexandria,N,,,?,Burgers,,,,
151.2064637,-33.8668185,0,Bopp & Tone,Steakhouse,$$$$,CBD,N,,,?,Steakhouse,,,,
151.1836905,-33.8932399,0,Bella Brutta,Italian,$$,Newtown,N,,,?,Italian,,,,
151.2167835,-33.8779691,0,Lucio Pizzeria,Italian,$$,Darlinghurst,Y,,,?,Italian,,,,
151.209841,-33.8799569,0,DOC Pizza - Surry Hills,Italian,$$,Surry Hills,Y,,,?,Italian,,,,
151.2120923,-33.8829786,0,Al Taglio,Italian,$$,Surry Hills,N,,,?,Italian,,,,
151.2155344,-33.8876403,0,La Panchina,Italian,$$,Surry Hills,N,,,?,Italian,,,,
151.2158434,-33.8850846,0,Vacanza Pizzeria Surry Hills,Italian,$$,Surry Hills,N,,,?,Italian,,,,
151.206308,-33.8823042,0,City Oltra,Italian,$$,Haymarket,N,,,?,Italian,,,,
151.178076,-33.8964672,0,Westwood,Italian,$$,Newtown,Y,,,?,Italian,,,,
151.1797845,-33.8960878,0,Mary's Newtown,Burgers,$$,Newtown,N,,,?,Burgers,,,,
151.2583333,-33.9122222,0,Out Of The Blue Clovelly,Burgers,$,Clovelly,N,,,?,Burgers,,,,
151.2109731,-33.8632044,0,Clam Bar,Steakhouse,$$$$,CBD,Y,,,?,Steakhouse,,,,
151.1720624,-33.9075191,0,Slim's Quality Burger,Burgers,$,Marrickville,N,,,?,Burgers,,,,
151.234174,-33.8842847,0,Ursula's Paddington,Australian,$$$$,Paddington,Y,,,?,Australian,,,,
151.2414835,-33.8768885,0,Margaret,Steakhouse,$$$$,Double Bay,Y,,,?,Seafood,,,,
151.1837679,-33.8932057,0,CafÈ Paci,Australian,$$$,Newtown,N,,,?,Australian,,,,
151.2300262,-33.8867589,0,Fred's,Australian,$$$$,Paddington,N,,,?,Australian,,,,
151.2155031,-33.8870599,0,Jane Surry Hills,Australian,$$$,Surry Hills,N,,,?,Australian,,,,
151.2098913,-33.8800003,0,Pellegrino 2000,Italian,$$$,Surry Hills,N,,,?,Italian,,,,
151.2106623,-33.8641373,0,Brasserie 1930,French,$$$$,CBD,N,,,?,French,,,,
151.2103627,-33.8867576,0,The Blue Door,Australian,$$$$$,Surry Hills,N,,,?,Australian,,,,
151.2082914,-33.839201,0,RAFI North Sydney,Australian,$$$,North Sydney,N,,,?,Australian,,,,
